LEI
04N6BH2GW8URDY0AK302
05X4XTIQUX90G0J6KG34
06JL2IS555ICW019ZP63
0C8VPGENNA8PSKOIU246
0DDMYSTQ8OKR7XSSEZ68
0KKR3R22FOMH4ZKLOK32
0NL7S0Z6XT6U55O6U359
0PRXP6HO2GP26R2IK085
0R1G3KQZZSOO4WWMNN67
0VPUXZL1JU6PQSA5EY63
0W8JYEYDHL0K0CEY5879
162TOW4MBL26Q9NDNV76
1A4WV19R600CXG6ZOO14
1BXU0IWD1I54BQDOY676
1D8UMR1OQ0TSCJYQ0716
1FNZZ1J53YZHNLJFPI48
1RDQ67M094ZPUN2RRO19
1SZUBUCJONXB5WL7N724
1TX6JPN86O26D2RQXL22
1YK3XMIPDXWQ8KR0SJ46
21380011GQEKPF3FD867
21380011XLBV7XLT2W47
21380012SZ774E8GAY03
21380013X73JE5AQJP31
21380015NZ84K2X6J127
21380016844YDDKHVW28
21380016HKPBXP7PGW79
213800198CU86I7VMN23
2138001996QFYFVO4723
2138001GJMELWSA67K63
